Rank	Country	Internet users
1	China	730723960
2	India	374328160
3	United States	246809221
4	Brazil	122841218
5	Japan	116565962
6	Russia	108772470
7	Mexico	73334032
8	Germany	72365643
9	Indonesia	65525226
10	United Kingdom	61064454
11	France	57226585
12	Philippines	56956436
13	Vietnam	49741000
14	Nigeria	47759904
15	Turkey	46838412
16	Korea, South	44153000
17	Spain	39123384
18	Italy	38025661
19	Iran	36070000
20	Thailand	32398778
21	Canada	31770034
22	Pakistan	31338715
23	Argentina	30786889
24	South Africa	29322380
25	Bangladesh	28499324
26	Poland	28237820
27	Colombia	27452550
28	Malaysia	24384952
29	Ukraine	23202067
30	Saudi Arabia	20768456
31	Taiwan	20601000
32	Australia	20288409
33	Morocco	19611643
34	Venezuela	18547381
35	Uganda	18148923
36	Algeria	17291463
37	Ethiopia	15731741
38	Netherlands	15385203
39	Burma	14264308
40	Kazakhstan	14100751
41	Peru	13975422
42	Uzbekistan	13791083
43	Romania	12852696
44	Kenya	12165597
45	Chile	11650840
46	Sudan	10284260
47	Belgium	9870734
48	Ghana	9328018
49	Sweden	9041427
50	Ecuador	8693739
51	Czechia	8141303
52	Iraq	8098401
53	Hungary	7826695
54	Azerbaijan	7720502
55	Portugal	7629560
56	Greece	7443016
57	Austria	7346055
58	Switzerland	7312744
59	Sri Lanka	7126540
60	Tanzania	6822754
61	Belarus	6805786
62	Yemen	6732928
63	Israel	6521539
64	Dominican Republic	6504998
65	Cote d'Ivoire	6297676
66	Cameroon	6090201
67	Hong Kong	6066000
68	Nepal	5716419
69	Tunisia	5665242
70	Syria	5476850
71	Denmark	5424169
72	United Arab Emirates	5370299
73	Guatemala	5241952
74	Norway	5122904
75	Jordan	5099674
76	Finland	4822132
77	Serbia	4790488
78	Lebanon	4747542
79	Singapore	4683200
80	Mozambique	4543284
81	Slovakia	4382558
82	Bolivia	4354678
83	Cuba	4334022
84	Bulgaria	4274328
85	Cambodia	4080372
86	Ireland	4069432
87	New Zealand	3958642
88	Zambia	3956252
89	Rwanda	3724678
90	Senegal	3675209
91	Paraguay	3524045
92	Zimbabwe	3363256
93	Costa Rica	3217277
94	Croatia	3135949
95	Congo, Democratic Republic of the	3016000
96	Puerto Rico	2873895
97	Burkina Faso	2723950
98	Bosnia and Herzegovina	2677502
99	Gaza Strip	2673000
100	West Bank	2673000
101	Honduras	2667978
102	Angola	2622403
103	Moldova	2492444
104	Georgia	2464107
105	Oman	2342483
106	Uruguay	2225075
107	Kuwait	2219972
108	Qatar	2129360
109	Lithuania	2122884
110	Albania	2016516
111	Panama	2000833
112	Kyrgyzstan	1976006
113	Mali	1940978
114	Armenia	1891775
115	Malawi	1785369
116	El Salvador	1785254
117	Tajikistan	1705345
118	Latvia	1570374
119	Slovenia	1493382
120	Macedonia	1475000
121	Nicaragua	1466152
122	Bahrain	1351326
123	Jamaica	1336653
124	Libya	1326194
125	Benin	1288336
126	Haiti	1282686
127	Laos	1258000
128	Guinea	1185148
129	Madagascar	1151563
130	Estonia	1097921
131	Turkmenistan	951925
132	Cyprus	915036
133	Togo	877310
134	Botswana	869610
135	Trinidad and Tobago	846000
136	Gabon	835408
137	Niger	805702
138	Namibia	756118
139	Mauritius	717618
140	Sierra Leone	708615
141	Mongolia	674949
142	Mauritania	661913
143	Papua New Guinea	652071
144	Chad	592623
145	Burundi	574236
146	Luxembourg	567698
147	Lesotho	534360
148	Macau	460000
149	Montenegro	450442
150	Fiji	425680
151	Eswatini	414724
152	Gambia, The	371785
153	Congo, Republic of the	362000
154	Iceland	329967
155	Malta	320902
156	Timor-Leste	318373
157	Liberia	314717
158	Bhutan	313347
159	Brunei	306000
160	Cabo Verde	266562
161	Suriname	265964
162	Guyana	262425
163	Bahamas, The	261853
164	Central African Republic	246000
165	Maldives	232210
166	Barbados	231883
167	Somalia	203366
168	New Caledonia	201000
169	French Polynesia	195275
170	Equatorial Guinea	180597
171	Belize	157735
172	Curacao	138750
173	Guam	125328
174	Djibouti	111212
175	Aruba	106309
176	Saint Lucia	86000
177	Andorra	83887
178	Solomon Islands	69859
179	Bermuda	69126
180	Eritrea	69095
181	Vanuatu	66613
182	Guinea-Bissau	66169
183	Comoros	63084
184	Grenada	62123
185	Antigua and Barbuda	60000
186	Samoa	58508
187	Jersey	58000
188	Virgin Islands	57000
189	Guernsey	55050
190	Saint Vincent and the Grenadines	53000
191	Seychelles	52664
192	Sao Tome and Principe	50000
193	Dominica	49439
194	Faroe Islands	47988
195	Cayman Islands	45242
196	Tonga	42552
197	Greenland	39544
198	Saint Kitts and Nevis	39000
199	Liechtenstein	37214
200	Micronesia, Federated States of	33000
201	Monaco	29116
202	Gibraltar	27699
203	Marshall Islands	21857
204	San Marino	17200
205	American Samoa	17000
206	Northern Mariana Islands	16000
207	Kiribati	14649
208	British Virgin Islands	14600
209	Anguilla	13665
210	Palau	7650
211	Cook Islands	5160
212	Nauru	5100
213	Tuvalu	5042
214	Saint Pierre and Miquelon	4500
215	Antarctica	4400
216	Wallis and Futuna	3450
217	Falkland Islands (Islas Malvinas)	3000
218	Montserrat	2860
219	Saint Helena, Ascension, and Tristan da Cunha	1800
220	Saint Martin	1100
221	Niue	1090
222	Tokelau	805
223	Christmas Island	790
224	Norfolk Island	765
225	Pitcairn Islands	54
226	Egypt	38
