Country 	total	male	female	year	notes
Afghanistan	10	13	8	2014	
Albania	15	15	16	2017	
Algeria	14	14	15	2011	
Angola	10	13	8	2011	
Antigua and Barbuda	13	12	13	2012	
Argentina	18	16	19	2016	
Armenia	13	13	13	2015	
Aruba	14	13	14	2012	
Australia	23	23	23	2016	
Austria	16	16	16	2016	
Azerbaijan	13	13	14	2017	
Bahrain	15	15	16	2017	
Bangladesh	11	11	12	2017	
Barbados	15	14	17	2011	
Belarus	15	15	16	2017	
Belgium	20	19	21	2016	
Belize	13	13	13	2017	
Benin	13	14	11	2016	
Bermuda	12	11	12	2015	
Bhutan	12	12	12	2013	
Bosnia and Herzegovina	14	14	15	2014	
Botswana	13	13	13	2013	
Brazil	15	15	16	2015	
British Virgin Islands	14			2015	
Brunei	14	14	15	2017	
Bulgaria	15	15	15	2016	
Burkina Faso	9	9	9	2017	
Burma	10	10	10	2017	
Burundi	11	11	11	2017	
Cabo Verde	12	12	12	2017	
Cambodia	11	11	10	2008	
Cameroon	13	14	12	2016	
Canada	16	16	17	2016	
Central African Republic	7	8	6	2012	
Chad	8	9	6	2014	
Chile	16	16	17	2016	
China	14	14	14	2015	
Colombia	15	14	15	2017	
Comoros	11	11	11	2014	
Congo, Democratic Republic of the	10	11	9	2013	
Congo, Republic of the	11	11	11	2012	
Cook Islands	15	15	16	2015	
Costa Rica	15	15	16	2016	
Cote d'Ivoire	10	11	9	2016	
Croatia	15	14	16	2016	
Cuba	14	14	14	2016	
Curacao	18	18	19	2013	
Cyprus	15	14	15	2015	
Czechia	17	16	18	2016	
Denmark	19	18	20	2016	
Djibouti	6	7	6	2011	
Dominican Republic	14	13	14	2016	
Ecuador	16	15	16	2015	
Egypt	13	13	13	2016	
El Salvador	12	12	12	2016	
Eritrea	5	6	5	2015	
Estonia	16	15	17	2016	
Eswatini	11	12	11	2013	
Ethiopia	8	9	8	2012	
Finland	19	19	20	2016	
France	15	15	16	2016	
Gambia, The	9	9	9	2010	
Gaza Strip	13	12	14	2017	 data represent Gaza Strip and the West Bank
Georgia	15	15	16	2017	
Germany	17	17	17	2016	
Ghana	12	12	11	2017	
Greece	18	18	18	2016	
Grenada	17	16	17	2017	
Guatemala	11	11	11	2014	
Guinea	9	10	8	2014	
Guyana	11	11	12	2012	
Honduras	10	10	11	2014	
Hong Kong	16	16	16	2014	
Hungary	15	15	15	2016	
Iceland	19	18	20	2016	
India	12	12	13	2016	
Indonesia	13	13	13	2017	
Iran	15	15	15	2015	
Ireland	19	19	19	2016	
Israel	16	15	17	2016	
Italy	16	16	17	2016	
Japan	15	15	15	2016	
Jordan	13	12	13	2012	
Kazakhstan	15	15	16	2017	
Kenya	11	11	11	2009	
Kiribati	12	11	12	2008	
Korea, North	11	11	11	2015	
Korea, South	17	17	16	2013	
Kuwait	14	13	14	2013	
Kyrgyzstan	13	13	14	2017	
Laos	11	11	11	2017	
Latvia	16	15	17	2016	
Lebanon	11	12	11	2014	
Lesotho	11	10	11	2015	
Liechtenstein	15	16	13	2016	
Lithuania	16	16	17	2016	
Luxembourg	14	14	14	2016	
Macau	16	15	16	2017	
Madagascar	10	10	10	2016	
Malawi	11	11	11	2011	
Malaysia	13	13	14	2017	
Mali	7	8	7	2015	
Malta	16	15	16	2016	
Mauritania	8	8	8	2017	
Mauritius	15	14	16	2017	
Mexico	14	14	14	2016	
Moldova	12	11	12	2015	
Mongolia	15	14	16	2015	
Montenegro	15	15	15	2017	
Morocco	13	14	13	2017	
Mozambique	10	10	9	2017	
Nauru	9	9	10	2008	
Nepal	12	12	13	2017	
Netherlands	18	18	18	2016	
New Zealand	19	18	20	2016	
Niger	6	7	6	2017	
Nigeria	9	9	8	2011	
North Macedonia	13	13	13	2015	
Norway	18	17	19	2016	
Oman	15	14	15	2016	
Pakistan	8	9	8	2017	
Palau	17	16	18	2013	
Panama	13	12	13	2015	
Paraguay	12	12	13	2010	
Peru	15	14	15	2016	
Philippines	13	12	13	2013	
Poland	16	16	17	2016	
Portugal	16	16	16	2016	
Puerto Rico	16	15	17	2015	
Qatar	12	11	14	2017	
Romania	14	14	15	2016	
Russia	16	15	16	2016	
Rwanda	11	11	11	2017	
Saint Kitts and Nevis	14	13	16	2015	
San Marino	15	15	16	2012	
Sao Tome and Principe	12	12	13	2015	
Saudi Arabia	17	18	16	2014	
Senegal	9	9	9	2017	
Serbia	15	14	15	2017	
Seychelles	16	15	16	2016	
Singapore	16	16	17	2016	
Slovakia	15	14	16	2016	
Slovenia	17	17	18	2016	
South Africa	14	13	14	2016	
Spain	18	18	18	2016	
Sri Lanka	14	14	14	2017	
Sudan	8	8	7	2015	
Sweden	19	18	20	2016	
Switzerland	16	16	16	2016	
Syria	9	9	9	2013	
Tajikistan	11	12	11	2013	
Tanzania	8	8	8	2013	
Thailand	15	15	16	2016	
Timor-Leste	13	14	13	2010	
Togo	13	14	11	2017	
Tunisia	15	14	16	2016	
Turkey	18	18	17	2016	
Turkmenistan	11	11	11	2014	
Uganda	10	10	10	2011	
Ukraine	15	15	16	2014	
United Arab Emirates	14	13	14	2016	
United Kingdom	19	18	20	2016	
United States	16	16	17	2016	
Uruguay	16				
Uzbekistan	12	12	12	2017	
Venezuela	14			2009	
West Bank	13	12	14	2017	data represent Gaza Strip and the West Bank
World	12	12	12	2017	
Yemen	9	10	8	2011	
Zimbabwe	10	10	10	2013	
